★,0x2605,0.353,0.031,0.655,0.314,0.283,BLACK STAR,Miscellaneous Symbols
█,0x2588,0.634,0.09,0.853,0.057,-0.032,FULL BLOCK,Block Elements
☀,0x2600,0.546,0.028,0.479,0.493,0.465,BLACK SUN WITH RAYS,Miscellaneous Symbols
😡,0x1f621,0.862,0.532,0.108,0.36,-0.173,POUTING FACE,Emoticons
😎,0x1f60e,0.766,0.106,0.297,0.597,0.491,SMILING FACE WITH SUNGLASSES,Emoticons
😢,0x1f622,0.814,0.384,0.225,0.391,0.007,CRYING FACE,Emoticons
💋,0x1f48b,0.801,0.039,0.231,0.73,0.691,KISS MARK,Miscellaneous Symbols and Pictographs
😋,0x1f60b,0.765,0.046,0.277,0.677,0.631,FACE SAVOURING DELICIOUS FOOD,Emoticons
🙊,0x1f64a,0.741,0.135,0.272,0.593,0.459,SPEAK-NO-EVIL MONKEY,Emoticons
😴,0x1f634,0.85,0.422,0.237,0.341,-0.08,SLEEPING FACE,Emoticons
🎶,0x1f3b6,0.797,0.097,0.27,0.634,0.537,MULTIPLE MUSICAL NOTES,Miscellaneous Symbols and Pictographs
💞,0x1f49e,0.829,0.041,0.18,0.78,0.739,REVOLVING HEARTS,Miscellaneous Symbols and Pictographs
😌,0x1f60c,0.847,0.141,0.237,0.623,0.482,RELIEVED FACE,Emoticons
🔥,0x1f525,0.616,0.124,0.613,0.263,0.139,FIRE,Miscellaneous Symbols and Pictographs
💯,0x1f4af,0.872,0.281,0.317,0.402,0.12,HUNDRED POINTS SYMBOL,Miscellaneous Symbols and Pictographs
🔫,0x1f52b,0.894,0.493,0.209,0.298,-0.194,PISTOL,Miscellaneous Symbols and Pictographs
💛,0x1f49b,0.752,0.043,0.205,0.752,0.709,YELLOW HEART,Miscellaneous Symbols and Pictographs
💁,0x1f481,0.84,0.192,0.29,0.518,0.326,INFORMATION DESK PERSON,Miscellaneous Symbols and Pictographs
💚,0x1f49a,0.737,0.078,0.189,0.733,0.656,GREEN HEART,Miscellaneous Symbols and Pictographs
♫,0x266b,0.397,0.063,0.586,0.351,0.287,BEAMED EIGHTH NOTES,Miscellaneous Symbols
😞,0x1f61e,0.825,0.479,0.161,0.361,-0.118,DISAPPOINTED FACE,Emoticons
😆,0x1f606,0.809,0.155,0.281,0.564,0.409,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,Emoticons
😝,0x1f61d,0.809,0.132,0.313,0.555,0.423,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,Emoticons
😪,0x1f62a,0.858,0.431,0.219,0.351,-0.08,SLEEPY FACE,Emoticons
�,0xfffd,0.113,0.166,0.581,0.253,0.086,REPLACEMENT CHARACTER,Specials
😫,0x1f62b,0.84,0.485,0.174,0.34,-0.145,TIRED FACE,Emoticons
😅,0x1f605,0.828,0.292,0.237,0.471,0.178,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons
👊,0x1f44a,0.825,0.265,0.243,0.492,0.228,FISTED HAND SIGN,Miscellaneous Symbols and Pictographs
💀,0x1f480,0.739,0.468,0.27,0.261,-0.207,SKULL,Miscellaneous Symbols and Pictographs
😀,0x1f600,0.786,0.086,0.26,0.654,0.568,GRINNING FACE,Emoticons
😚,0x1f61a,0.853,0.049,0.192,0.759,0.71,KISSING FACE WITH CLOSED EYES,Emoticons
😻,0x1f63b,0.73,0.069,0.243,0.688,0.619,SMILING CAT FACE WITH HEART-SHAPED EYES,Emoticons
©,0xa9,0.74,0.131,0.621,0.248,0.117,COPYRIGHT SIGN,Latin-1 Supplement
👀,0x1f440,0.759,0.228,0.482,0.291,0.063,EYES,Miscellaneous Symbols and Pictographs
💘,0x1f498,0.785,0.048,0.221,0.731,0.683,HEART WITH ARROW,Miscellaneous Symbols and Pictographs
🐓,0x1f413,0.491,0.109,0.755,0.137,0.028,ROOSTER,Miscellaneous Symbols and Pictographs
☕,0x2615,0.685,0.14,0.475,0.384,0.244,HOT BEVERAGE,Miscellaneous Symbols
👋,0x1f44b,0.798,0.158,0.27,0.571,0.413,WAVING HAND SIGN,Miscellaneous Symbols and Pictographs
✋,0x270b,0.838,0.328,0.218,0.454,0.126,RAISED HAND,Dingbats
🎊,0x1f38a,0.724,0.057,0.164,0.779,0.721,CONFETTI BALL,Miscellaneous Symbols and Pictographs
🍕,0x1f355,0.545,0.056,0.47,0.473,0.417,SLICE OF PIZZA,Miscellaneous Symbols and Pictographs
❄,0x2744,0.76,0.099,0.295,0.605,0.506,SNOWFLAKE,Dingbats
😥,0x1f625,0.882,0.317,0.244,0.439,0.122,DISAPPOINTED BUT RELIEVED FACE,Emoticons
😕,0x1f615,0.857,0.601,0.195,0.204,-0.397,CONFUSED FACE,Emoticons
💥,0x1f4a5,0.587,0.072,0.708,0.22,0.148,COLLISION SYMBOL,Miscellaneous Symbols and Pictographs
💔,0x1f494,0.836,0.414,0.293,0.293,-0.121,BROKEN HEART,Miscellaneous Symbols and Pictographs
😤,0x1f624,0.884,0.479,0.252,0.27,-0.209,FACE WITH LOOK OF TRIUMPH,Emoticons
😈,0x1f608,0.762,0.204,0.326,0.47,0.265,SMILING FACE WITH HORNS,Emoticons
►,0x25ba,0.516,0.125,0.588,0.287,0.162,BLACK RIGHT-POINTING POINTER,Geometric Shapes
✈,0x2708,0.522,0.043,0.498,0.458,0.415,AIRPLANE,Dingbats
🔝,0x1f51d,0.798,0.088,0.35,0.562,0.474,TOP WITH UPWARDS ARROW ABOVE,Miscellaneous Symbols and Pictographs
😰,0x1f630,0.92,0.436,0.148,0.416,-0.02,FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons
⚽,0x26bd,0.193,0.053,0.278,0.669,0.616,SOCCER BALL,Miscellaneous Symbols
😑,0x1f611,0.844,0.513,0.285,0.202,-0.311,EXPRESSIONLESS FACE,Emoticons
👑,0x1f451,0.699,0.043,0.219,0.738,0.694,CROWN,Miscellaneous Symbols and Pictographs
😹,0x1f639,0.807,0.299,0.262,0.44,0.141,CAT FACE WITH TEARS OF JOY,Emoticons
👉,0x1f449,0.559,0.071,0.468,0.461,0.39,WHITE RIGHT POINTING BACKHAND INDEX,Miscellaneous Symbols and Pictographs
🍃,0x1f343,0.572,0.102,0.418,0.48,0.378,LEAF FLUTTERING IN WIND,Miscellaneous Symbols and Pictographs
🎁,0x1f381,0.709,0.041,0.158,0.801,0.759,WRAPPED PRESENT,Miscellaneous Symbols and Pictographs
😠,0x1f620,0.849,0.564,0.172,0.265,-0.299,ANGRY FACE,Emoticons
🐧,0x1f427,0.54,0.042,0.46,0.498,0.456,PENGUIN,Miscellaneous Symbols and Pictographs
☆,0x2606,0.563,0.032,0.509,0.46,0.428,WHITE STAR,Miscellaneous Symbols
🍀,0x1f340,0.768,0.025,0.665,0.31,0.285,FOUR LEAF CLOVER,Miscellaneous Symbols and Pictographs
🎈,0x1f388,0.719,0.018,0.246,0.736,0.718,BALLOON,Miscellaneous Symbols and Pictographs
🎅,0x1f385,0.801,0.029,0.625,0.347,0.318,FATHER CHRISTMAS,Miscellaneous Symbols and Pictographs
😓,0x1f613,0.845,0.431,0.217,0.351,-0.08,FACE WITH COLD SWEAT,Emoticons
😣,0x1f623,0.903,0.54,0.131,0.328,-0.212,PERSEVERING FACE,Emoticons
😐,0x1f610,0.883,0.553,0.282,0.165,-0.388,NEUTRAL FACE,Emoticons
✊,0x270a,0.859,0.139,0.293,0.568,0.429,RAISED FIST,Dingbats
😨,0x1f628,0.814,0.434,0.272,0.294,-0.14,FEARFUL FACE,Emoticons
😖,0x1f616,0.869,0.483,0.188,0.328,-0.155,CONFOUNDED FACE,Emoticons
💤,0x1f4a4,0.8,0.144,0.341,0.515,0.37,SLEEPING SYMBOL,Miscellaneous Symbols and Pictographs
💓,0x1f493,0.783,0.061,0.214,0.725,0.664,BEATING HEART,Miscellaneous Symbols and Pictographs
👎,0x1f44e,0.914,0.494,0.199,0.307,-0.188,THUMBS DOWN SIGN,Miscellaneous Symbols and Pictographs
💦,0x1f4a6,0.779,0.141,0.247,0.612,0.471,SPLASHING SWEAT SYMBOL,Miscellaneous Symbols and Pictographs
✔,0x2714,0.565,0.127,0.476,0.397,0.27,HEAVY CHECK MARK,Dingbats
😷,0x1f637,0.84,0.474,0.221,0.305,-0.169,FACE WITH MEDICAL MASK,Emoticons
⚡,0x26a1,0.779,0.044,0.735,0.221,0.177,HIGH VOLTAGE SIGN,Miscellaneous Symbols
🙋,0x1f64b,0.733,0.13,0.255,0.615,0.485,HAPPY PERSON RAISING ONE HAND,Emoticons
🎄,0x1f384,0.633,0.067,0.335,0.598,0.531,CHRISTMAS TREE,Miscellaneous Symbols and Pictographs
💩,0x1f4a9,0.84,0.409,0.297,0.293,-0.116,PILE OF POO,Miscellaneous Symbols and Pictographs
🎵,0x1f3b5,0.715,0.106,0.288,0.606,0.5,MUSICAL NOTE,Miscellaneous Symbols and Pictographs
➡,0x27a1,0.478,0.013,0.827,0.16,0.147,BLACK RIGHTWARDS ARROW,Dingbats
😛,0x1f61b,0.734,0.085,0.229,0.686,0.601,FACE WITH STUCK-OUT TONGUE,Emoticons
😬,0x1f62c,0.794,0.267,0.272,0.461,0.194,GRIMACING FACE,Emoticons
👯,0x1f46f,0.742,0.117,0.327,0.556,0.439,WOMAN WITH BUNNY EARS,Miscellaneous Symbols and Pictographs
💎,0x1f48e,0.694,0.057,0.325,0.618,0.561,GEM STONE,Miscellaneous Symbols and Pictographs
🌿,0x1f33f,0.6,0.009,0.597,0.393,0.384,HERB,Miscellaneous Symbols and Pictographs
🎂,0x1f382,0.748,0.083,0.221,0.696,0.613,BIRTHDAY CAKE,Miscellaneous Symbols and Pictographs
🌟,0x1f31f,0.655,0.059,0.554,0.386,0.327,GLOWING STAR,Miscellaneous Symbols and Pictographs
🔮,0x1f52e,0.333,0.035,0.663,0.302,0.267,CRYSTAL BALL,Miscellaneous Symbols and Pictographs
❗,0x2757,0.62,0.159,0.582,0.259,0.1,HEAVY EXCLAMATION MARK SYMBOL,Dingbats
👫,0x1f46b,0.664,0.22,0.305,0.475,0.255,MAN AND WOMAN HOLDING HANDS,Miscellaneous Symbols and Pictographs
🏆,0x1f3c6,0.706,0.036,0.203,0.761,0.726,TROPHY,Miscellaneous Symbols and Pictographs
✖,0x2716,0.515,0.046,0.597,0.357,0.311,HEAVY MULTIPLICATION X,Dingbats
☝,0x261d,0.76,0.144,0.402,0.454,0.309,WHITE UP POINTING INDEX,Miscellaneous Symbols
😙,0x1f619,0.876,0.021,0.18,0.799,0.778,KISSING FACE WITH SMILING EYES,Emoticons
⛄,0x26c4,0.739,0.077,0.325,0.598,0.521,SNOWMAN WITHOUT SNOW,Miscellaneous Symbols
👅,0x1f445,0.738,0.124,0.29,0.585,0.461,TONGUE,Miscellaneous Symbols and Pictographs
♪,0x266a,0.696,0.083,0.301,0.617,0.534,EIGHTH NOTE,Miscellaneous Symbols
🍂,0x1f342,0.635,0.036,0.38,0.583,0.547,FALLEN LEAF,Miscellaneous Symbols and Pictographs
💏,0x1f48f,0.729,0.181,0.25,0.569,0.388,KISS,Miscellaneous Symbols and Pictographs
🔪,0x1f52a,0.764,0.21,0.511,0.28,0.07,HOCHO,Miscellaneous Symbols and Pictographs
🌴,0x1f334,0.676,0.077,0.32,0.602,0.525,PALM TREE,Miscellaneous Symbols and Pictographs
👈,0x1f448,0.701,0.085,0.407,0.508,0.424,WHITE LEFT POINTING BACKHAND INDEX,Miscellaneous Symbols and Pictographs
🌹,0x1f339,0.664,0.023,0.354,0.623,0.6,ROSE,Miscellaneous Symbols and Pictographs
🙆,0x1f646,0.84,0.092,0.316,0.592,0.5,FACE WITH OK GESTURE,Emoticons
➜,0x279c,0.559,0.052,0.734,0.214,0.162,HEAVY ROUND-TIPPED RIGHTWARDS ARROW,Dingbats
👻,0x1f47b,0.741,0.17,0.433,0.398,0.228,GHOST,Miscellaneous Symbols and Pictographs
💰,0x1f4b0,0.827,0.158,0.433,0.409,0.251,MONEY BAG,Miscellaneous Symbols and Pictographs
🍻,0x1f37b,0.745,0.107,0.274,0.619,0.512,CLINKING BEER MUGS,Miscellaneous Symbols and Pictographs
🙅,0x1f645,0.839,0.458,0.286,0.256,-0.202,FACE WITH NO GOOD GESTURE,Emoticons
🌞,0x1f31e,0.709,0.024,0.394,0.582,0.558,SUN WITH FACE,Miscellaneous Symbols and Pictographs
🍁,0x1f341,0.624,0.037,0.445,0.518,0.482,MAPLE LEAF,Miscellaneous Symbols and Pictographs
⭐,0x2b50,0.601,0.037,0.346,0.617,0.58,WHITE MEDIUM STAR,Miscellaneous Symbols and Arrows
▪,0x25aa,0.145,0.099,0.605,0.296,0.198,BLACK SMALL SQUARE,Geometric Shapes
🎀,0x1f380,0.652,0.044,0.283,0.673,0.629,RIBBON,Miscellaneous Symbols and Pictographs
━,0x2501,0.54,0.094,0.635,0.27,0.176,BOX DRAWINGS HEAVY HORIZONTAL,Box Drawing
☷,0x2637,0.012,0.019,0.898,0.083,0.064,TRIGRAM FOR EARTH,Miscellaneous Symbols
🐷,0x1f437,0.603,0.077,0.477,0.445,0.368,PIG FACE,Miscellaneous Symbols and Pictographs
🙉,0x1f649,0.758,0.176,0.314,0.51,0.333,HEAR-NO-EVIL MONKEY,Emoticons
🌺,0x1f33a,0.629,0.02,0.412,0.569,0.549,HIBISCUS,Miscellaneous Symbols and Pictographs
💅,0x1f485,0.756,0.184,0.243,0.572,0.388,NAIL POLISH,Miscellaneous Symbols and Pictographs
🐶,0x1f436,0.654,0.086,0.252,0.662,0.576,DOG FACE,Miscellaneous Symbols and Pictographs
🌚,0x1f31a,0.76,0.159,0.219,0.623,0.464,NEW MOON WITH FACE,Miscellaneous Symbols and Pictographs
👽,0x1f47d,0.612,0.094,0.497,0.409,0.315,EXTRATERRESTRIAL ALIEN,Miscellaneous Symbols and Pictographs
🎤,0x1f3a4,0.671,0.122,0.279,0.599,0.476,MICROPHONE,Miscellaneous Symbols and Pictographs
👭,0x1f46d,0.667,0.143,0.252,0.605,0.463,TWO WOMEN HOLDING HANDS,Miscellaneous Symbols and Pictographs
🎧,0x1f3a7,0.843,0.131,0.324,0.545,0.414,HEADPHONE,Miscellaneous Symbols and Pictographs
👆,0x1f446,0.787,0.121,0.433,0.447,0.326,WHITE UP POINTING BACKHAND INDEX,Miscellaneous Symbols and Pictographs
🍸,0x1f378,0.663,0.092,0.277,0.631,0.539,COCKTAIL GLASS,Miscellaneous Symbols and Pictographs
🍷,0x1f377,0.604,0.057,0.493,0.45,0.393,WINE GLASS,Miscellaneous Symbols and Pictographs
®,0xae,0.353,0.071,0.579,0.35,0.279,REGISTERED SIGN,Latin-1 Supplement
🍉,0x1f349,0.648,0.079,0.245,0.676,0.597,WATERMELON,Miscellaneous Symbols and Pictographs
😇,0x1f607,0.782,0.072,0.268,0.659,0.587,SMILING FACE WITH HALO,Emoticons
☑,0x2611,0.69,0.022,0.855,0.123,0.101,BALLOT BOX WITH CHECK,Miscellaneous Symbols
🏃,0x1f3c3,0.735,0.094,0.406,0.5,0.406,RUNNER,Miscellaneous Symbols and Pictographs
😿,0x1f63f,0.812,0.577,0.219,0.204,-0.372,CRYING CAT FACE,Emoticons
│,0x2502,0.483,0.007,0.642,0.35,0.343,BOX DRAWINGS LIGHT VERTICAL,Box Drawing
💣,0x1f4a3,0.847,0.306,0.381,0.313,0.007,BOMB,Miscellaneous Symbols and Pictographs
🍺,0x1f37a,0.682,0.067,0.373,0.56,0.493,BEER MUG,Miscellaneous Symbols and Pictographs
▶,0x25b6,0.498,0.06,0.672,0.269,0.209,BLACK RIGHT-POINTING TRIANGLE,Geometric Shapes
😲,0x1f632,0.854,0.386,0.295,0.318,-0.068,ASTONISHED FACE,Emoticons
🎸,0x1f3b8,0.605,0.016,0.453,0.531,0.516,GUITAR,Miscellaneous Symbols and Pictographs
🍹,0x1f379,0.764,0.048,0.246,0.706,0.659,TROPICAL DRINK,Miscellaneous Symbols and Pictographs
💫,0x1f4ab,0.614,0.04,0.419,0.54,0.5,DIZZY SYMBOL,Miscellaneous Symbols and Pictographs
📚,0x1f4da,0.692,0.189,0.287,0.525,0.336,BOOKS,Miscellaneous Symbols and Pictographs
😶,0x1f636,0.869,0.425,0.292,0.283,-0.142,FACE WITHOUT MOUTH,Emoticons
🌷,0x1f337,0.623,0.008,0.445,0.546,0.538,TULIP,Miscellaneous Symbols and Pictographs
💝,0x1f49d,0.774,0.076,0.203,0.72,0.644,HEART WITH RIBBON,Miscellaneous Symbols and Pictographs
💨,0x1f4a8,0.711,0.11,0.398,0.492,0.381,DASH SYMBOL,Miscellaneous Symbols and Pictographs
🏈,0x1f3c8,0.823,0.068,0.333,0.598,0.53,AMERICAN FOOTBALL,Miscellaneous Symbols and Pictographs
💍,0x1f48d,0.808,0.148,0.226,0.626,0.478,RING,Miscellaneous Symbols and Pictographs
☔,0x2614,0.687,0.193,0.325,0.482,0.289,UMBRELLA WITH RAIN DROPS,Miscellaneous Symbols
👸,0x1f478,0.654,0.061,0.272,0.667,0.605,PRINCESS,Miscellaneous Symbols and Pictographs
🇪,0x1f1ea,0.699,0.027,0.33,0.643,0.616,REGIONAL INDICATOR SYMBOL LETTER E,Enclosed Alphanumeric Supplement
░,0x2591,0.439,0.234,0.577,0.189,-0.045,LIGHT SHADE,Block Elements
🍩,0x1f369,0.709,0.145,0.327,0.527,0.382,DOUGHNUT,Miscellaneous Symbols and Pictographs
👾,0x1f47e,0.552,0.019,0.602,0.38,0.361,ALIEN MONSTER,Miscellaneous Symbols and Pictographs
☁,0x2601,0.596,0.14,0.411,0.449,0.308,CLOUD,Miscellaneous Symbols
🌻,0x1f33b,0.607,0.019,0.393,0.589,0.57,SUNFLOWER,Miscellaneous Symbols and Pictographs
😵,0x1f635,0.809,0.321,0.274,0.406,0.085,DIZZY FACE,Emoticons
📒,0x1f4d2,0.474,0.01,0.943,0.048,0.038,LEDGER,Miscellaneous Symbols and Pictographs
↿,0x21bf,0.711,0.01,0.333,0.657,0.648,UPWARDS HARPOON WITH BARB LEFTWARDS,Arrows
🐯,0x1f42f,0.55,0.049,0.427,0.524,0.476,TIGER FACE,Miscellaneous Symbols and Pictographs
👼,0x1f47c,0.683,0.176,0.314,0.51,0.333,BABY ANGEL,Miscellaneous Symbols and Pictographs
🍔,0x1f354,0.637,0.168,0.386,0.446,0.277,HAMBURGER,Miscellaneous Symbols and Pictographs
😸,0x1f638,0.782,0.12,0.35,0.53,0.41,GRINNING CAT FACE WITH SMILING EYES,Emoticons
👶,0x1f476,0.745,0.141,0.283,0.576,0.434,BABY,Miscellaneous Symbols and Pictographs
↾,0x21be,0.707,0.01,0.333,0.657,0.646,UPWARDS HARPOON WITH BARB RIGHTWARDS,Arrows
💐,0x1f490,0.728,0.041,0.184,0.776,0.735,BOUQUET,Miscellaneous Symbols and Pictographs
🌊,0x1f30a,0.78,0.092,0.316,0.592,0.5,WATER WAVE,Miscellaneous Symbols and Pictographs
🍦,0x1f366,0.63,0.143,0.255,0.602,0.459,SOFT ICE CREAM,Miscellaneous Symbols and Pictographs
🍓,0x1f353,0.689,0.041,0.247,0.711,0.67,STRAWBERRY,Miscellaneous Symbols and Pictographs
👇,0x1f447,0.557,0.144,0.464,0.392,0.247,WHITE DOWN POINTING BACKHAND INDEX,Miscellaneous Symbols and Pictographs
💆,0x1f486,0.814,0.263,0.253,0.484,0.221,FACE MASSAGE,Miscellaneous Symbols and Pictographs
🍴,0x1f374,0.58,0.053,0.358,0.589,0.537,FORK AND KNIFE,Miscellaneous Symbols and Pictographs
😧,0x1f627,0.775,0.389,0.284,0.326,-0.063,ANGUISHED FACE,Emoticons
🇸,0x1f1f8,0.655,0.096,0.298,0.606,0.511,REGIONAL INDICATOR SYMBOL LETTER S,Enclosed Alphanumeric Supplement
😮,0x1f62e,0.774,0.183,0.366,0.452,0.269,FACE WITH OPEN MOUTH,Emoticons
▓,0x2593,0.658,0.032,0.925,0.043,0.011,DARK SHADE,Block Elements
🚫,0x1f6ab,0.703,0.538,0.363,0.099,-0.44,NO ENTRY SIGN,Transport and Map Symbols
😽,0x1f63d,0.754,0.132,0.165,0.703,0.571,KISSING CAT FACE WITH CLOSED EYES,Emoticons
🌈,0x1f308,0.672,0.066,0.352,0.582,0.516,RAINBOW,Miscellaneous Symbols and Pictographs
🙀,0x1f640,0.791,0.165,0.341,0.495,0.33,WEARY CAT FACE,Emoticons
⚠,0x26a0,0.489,0.187,0.692,0.121,-0.066,WARNING SIGN,Miscellaneous Symbols
🎮,0x1f3ae,0.467,0.101,0.371,0.528,0.427,VIDEO GAME,Miscellaneous Symbols and Pictographs
╯,0x256f,0.507,0.23,0.552,0.218,-0.011,BOX DRAWINGS LIGHT ARC UP AND LEFT,Box Drawing
🍆,0x1f346,0.719,0.08,0.437,0.483,0.402,AUBERGINE,Miscellaneous Symbols and Pictographs
🍰,0x1f370,0.783,0.161,0.23,0.609,0.448,SHORTCAKE,Miscellaneous Symbols and Pictographs
✓,0x2713,0.628,0.115,0.483,0.402,0.287,CHECK MARK,Dingbats
👐,0x1f450,0.876,0.395,0.233,0.372,-0.023,OPEN HANDS SIGN,Miscellaneous Symbols and Pictographs
🙇,0x1f647,0.794,0.291,0.279,0.43,0.14,PERSON BOWING DEEPLY,Emoticons
🍟,0x1f35f,0.65,0.174,0.349,0.477,0.302,FRENCH FRIES,Miscellaneous Symbols and Pictographs
🍌,0x1f34c,0.541,0.129,0.306,0.565,0.435,BANANA,Miscellaneous Symbols and Pictographs
💑,0x1f491,0.683,0.071,0.2,0.729,0.659,COUPLE WITH HEART,Miscellaneous Symbols and Pictographs
👬,0x1f46c,0.622,0.353,0.353,0.294,-0.059,TWO MEN HOLDING HANDS,Miscellaneous Symbols and Pictographs
🐣,0x1f423,0.776,0.155,0.214,0.631,0.476,HATCHING CHICK,Miscellaneous Symbols and Pictographs
🎃,0x1f383,0.724,0.083,0.238,0.679,0.595,JACK-O-LANTERN,Miscellaneous Symbols and Pictographs
▬,0x25ac,0.335,0.012,0.512,0.476,0.464,BLACK RECTANGLE,Geometric Shapes
￼,0xfffc,0.309,0.536,0.405,0.06,-0.476,OBJECT REPLACEMENT CHARACTER,Specials
😟,0x1f61f,0.824,0.349,0.229,0.422,0.072,WORRIED FACE,Emoticons
🐾,0x1f43e,0.739,0.111,0.173,0.716,0.605,PAW PRINTS,Miscellaneous Symbols and Pictographs
🎓,0x1f393,0.647,0.1,0.238,0.663,0.563,GRADUATION CAP,Miscellaneous Symbols and Pictographs
🏊,0x1f3ca,0.653,0.038,0.35,0.613,0.575,SWIMMER,Miscellaneous Symbols and Pictographs
🍫,0x1f36b,0.793,0.291,0.266,0.443,0.152,CHOCOLATE BAR,Miscellaneous Symbols and Pictographs
📷,0x1f4f7,0.49,0.101,0.367,0.532,0.43,CAMERA,Miscellaneous Symbols and Pictographs
👄,0x1f444,0.592,0.077,0.372,0.551,0.474,MOUTH,Miscellaneous Symbols and Pictographs
🌼,0x1f33c,0.604,0.026,0.169,0.805,0.779,BLOSSOM,Miscellaneous Symbols and Pictographs
🚶,0x1f6b6,0.797,0.377,0.39,0.234,-0.143,PEDESTRIAN,Transport and Map Symbols
🐱,0x1f431,0.544,0.145,0.197,0.658,0.513,CAT FACE,Miscellaneous Symbols and Pictographs
║,0x2551,0.568,0.013,0.829,0.158,0.145,BOX DRAWINGS DOUBLE VERTICAL,Box Drawing
🐸,0x1f438,0.846,0.333,0.413,0.253,-0.08,FROG FACE,Miscellaneous Symbols and Pictographs
🇺,0x1f1fa,0.683,0.122,0.216,0.662,0.541,REGIONAL INDICATOR SYMBOL LETTER U,Enclosed Alphanumeric Supplement
